//ERROR: FILE TOO LARGE FOR MACHINE TRANSLATION

GENOTYPE        MEMBRANE IDENTIFIER              LOCAL DESIGNATION          LOCAL ID  LOCAL HSU LOCATION  LOCAL STATUS
C9RVQXC2GZZ828  M-C30U-J7LM-2XKW-7N18-EZLS-5OXP  Artus Chaparon             D206      Unknown             Deceased
C9RVQXC2GZZ828  M-6B6F-UC88-HDFV-H3RZ-TJ06-V7SO  Artus Chaparon             D759      Unknown             Deceased
C9RVQXC2GZZ828  M-PX59-GV7Y-GLYH-AG20-YLO3-IG0K  Artus O'Hara               D871      Unknown             Unknown
C9RVQXC2GZZ828  M-IV9V-X039-TRZ6-G81V-GQP6-FJYN  Artus Crockett             D953      Unknown             Deceased
C9RVQXC2GZZ828  M-RAHK-SYGJ-7V1V-WLBP-RZYT-Q5T0  Artus Presado              D828      Unknown             Deceased
C9RVQXC2GZZ828  M-T3X2-04F8-6WEX-STQ4-KQ9V-HG94  Artus Chaparon             D996      Unknown             Deceased
C9RVQXC2GZZ828  M-PAOQ-UF6V-QR0Z-AOTD-Q3YA-HO68  Artus Chaparon             D865      Unknown             Deceased
C9RVQXC2GZZ828  M-I3I9-57TN-32NZ-PYN1-ZTGB-3146  Artus Takayama             D168      Unknown             Deceased
C9RVQXC2GZZ828  M-76FO-R8XB-DPI1-66ZS-8M5I-B3X1  Artus Chaparon             D300      Unknown             Deceased
C9RVQXC2GZZ828  M-P7LY-H5FR-9LC9-2F65-FMW9-QW42  Artus Chaparon             D358      Unknown             Unknown
C9RVQXC2GZZ828  M-3XCQ-5V5E-JN8T-X93I-K01V-4003  Artus Chaparon             D598      Unknown             Unknown
C9RVQXC2GZZ828  M-QACZ-GXL2-DT4T-2YVN-Q80O-GMHG  Artus Chaparon             D376      Unknown             Unknown
C9RVQXC2GZZ828  M-SOZZ-4J7C-7JA5-TF7V-CFQE-EJPV  Artus Chaparon             D654      Unknown             Unknown
C9RVQXC2GZZ828  M-FOE5-AMWD-26G2-8V84-V1WS-YZ4K  Artus Duffield             D719      Unknown             Deceased
C9RVQXC2GZZ828  M-BELA-6DBI-8DUQ-EBCU-W7DW-8EWR  Artus Hill                 D658      Unknown             Unknown
C9RVQXC2GZZ828  M-HWTM-X77P-T345-AWHZ-4845-BRZT  Artus Chaparon             D126      Unknown             Unknown
C9RVQXC2GZZ828  M-ZB60-WHL7-S43J-TYVB-FE6K-HHUA  Artus Meakins              D104      Unknown             Deceased
C9RVQXC2GZZ828  M-0N1A-J1QZ-6AXV-BH3M-S7NG-37FF  Artus Chaparon             D398      Unknown             Deceased
C9RVQXC2GZZ828  M-M306-VOLR-R5AI-PLX1-ODMT-B9A8  Artus Chaparon             D968      Unknown             Unknown
C9RVQXC2GZZ828  M-LU2J-3OH2-IVXQ-BTES-YFEF-GU6G  Artus Chaparon             D211      Unknown             Unknown
C9RVQXC2GZZ828  M-KW2Z-UVEN-31VA-WBXD-YHA3-XH04  Artus Chaparon             D352      Unknown             Deceased
C9RVQXC2GZZ828  M-8455-5410-YV9H-VRHW-RKWJ-8D6W  Artus Chaparon             D240      Unknown             Unknown
C9RVQXC2GZZ828  M-SBR8-UCTC-6710-0JR8-A4MA-CQRH  Artus Basaraba             D280      Unknown             Unknown
C9RVQXC2GZZ828  M-AOMM-UQ54-8JN4-N2GV-C6LY-ZR5H  Artus Chaparon             D726      Unknown             Deceased
C9RVQXC2GZZ828  M-3YID-15UB-TJ8F-ZGSP-B62R-6XVH  Artus Chaparon             D534      Unknown             Unknown
C9RVQXC2GZZ828  M-X07F-E3RS-SFT6-I1DC-YLKD-3B65  Artus Chaparon             D238      Unknown             Deceased
C9RVQXC2GZZ828  M-O6W3-YOLG-DBQA-7O70-2QWU-WWHJ  Artus Mandali              D925      Unknown             Unknown
C9RVQXC2GZZ828  M-302U-MRNW-4C1H-GX3E-3N3G-LCEJ  Artus Dutton               D496      Unknown             Deceased
C9RVQXC2GZZ828  M-NULN-OLI1-ZMA8-V03V-X3G5-XZTE  Artus Chaparon             D996      Unknown             Unknown
C9RVQXC2GZZ828  M-WR1J-2A70-VTG1-G9HT-39S4-X4TC  Artus Ordodi               D905      Unknown             Unknown
C9RVQXC2GZZ828  M-THTS-6IVY-AG17-U98Z-OJNC-UCPX  Artus Chaparon             D465      Unknown             Deceased
C9RVQXC2GZZ828  M-VWCY-HZQ1-7YZV-QP4N-7S1A-IK93  Artus Chaparon             D570      Unknown             Unknown
C9RVQXC2GZZ828  M-A3PO-RRSR-267J-G7QL-ZA95-KNI9  Artus Chaparon             D569      Unknown             Unknown
C9RVQXC2GZZ828  M-O9FB-KPPK-XIYO-JCJQ-GH2U-SVH9  Artus Chaparon             D564      Unknown             Deceased
C9RVQXC2GZZ828  M-CPKH-LETW-UQAS-MRHN-QWV7-JCCX  Artus Chaparon             D936      Unknown             Deceased
C9RVQXC2GZZ828  M-1TYD-UXR3-2F85-EH9T-ZB32-B1EZ  Artus Chaparon             D398      Unknown             Unknown
C9RVQXC2GZZ828  M-APD5-9J0A-NXQ2-PQB6-9HZG-SLIJ  Artus Chaparon             D654      Unknown             Deceased
C9RVQXC2GZZ828  M-XCIH-IKVA-P9CF-TV4T-P8SQ-0GEI  Artus Chaparon             D338      Unknown             Unknown
C9RVQXC2GZZ828  M-9624-B7GY-G4H6-AT1D-CQNP-N6MN  Artus Chaparon             D449      Unknown             Unknown
C9RVQXC2GZZ828  M-NG1T-32TQ-89HL-R18R-3N8Z-O7S5  Artus Chaparon             D533      Unknown             Deceased
C9RVQXC2GZZ828  M-GOOJ-3Y5D-UPQ5-FW5O-L18B-LQVK  Artus Chaparon             D562      Unknown             Deceased
C9RVQXC2GZZ828  M-S5W9-8X9Q-X5NO-OJWJ-EE1C-KDMG  Artus Chaparon             D775      Unknown             Unknown
C9RVQXC2GZZ828  M-STOW-8RT0-3D18-C5E7-PAHJ-JQAC  Artus Chaparon             D442      Unknown             Unknown
C9RVQXC2GZZ828  M-EY7H-YTAO-TPQO-IMRG-MWVK-RYHI  Artus Chaparon             D462      Unknown             Unknown
C9RVQXC2GZZ828  M-94WJ-5C7C-TMSJ-TLBJ-CNPW-OZYC  Artus Nugent               D888      Unknown             Deceased
C9RVQXC2GZZ828  M-TB7X-4ZUP-RYI4-61TQ-SO56-4HWA  Artus Dellimore            D525      Unknown             Deceased
C9RVQXC2GZZ828  M-UMIE-JU3J-FUZ4-FJH3-1C25-DGML  Artus Chaparon             D569      Unknown             Deceased
C9RVQXC2GZZ828  M-38DA-42HM-O7CS-RQG6-49ZM-BZLI  Artus Chaparon             D456      Unknown             Unknown
C9RVQXC2GZZ828  M-GBE2-P16N-96KK-R3ON-MNPH-HYLL  Artus Chaparon             D958      Unknown             Deceased
C9RVQXC2GZZ828  M-55AE-RAJE-X432-YP6X-AYTU-G5PB  Artus Chaparon             D512      Unknown             Unknown
C9RVQXC2GZZ828  M-UL9Y-KDBR-026U-0258-XGXW-9WY7  Artus Chaparon             D276      Unknown             Deceased
C9RVQXC2GZZ828  M-Q1HS-F0FA-P8UG-BU4T-3MC5-TM6I  Artus Chaparon             D392      Unknown             Deceased
C9RVQXC2GZZ828  M-2U79-H2C8-WBIS-6SL9-X5E2-IZ7C  Artus Chaparon             D573      Unknown             Deceased
C9RVQXC2GZZ828  M-LE3X-T3ND-49ZV-3F2X-6WT9-MLXL  Artus Fowler               D154      Unknown             Deceased
C9RVQXC2GZZ828  M-ADHX-IEAD-W4YD-9OO3-YEY6-20GS  Artus Chaparon             D714      Unknown             Deceased
C9RVQXC2GZZ828  M-DR5V-G70A-QSXQ-V04Z-9W88-RYXS  Artus Chaparon             D206      Unknown             Deceased
C9RVQXC2GZZ828  M-HZLH-X0SJ-7ZU1-JO6Y-EXXR-18H8  Artus Chaparon             D823      Unknown             Deceased
C9RVQXC2GZZ828  M-K87F-1HBP-3NOR-WSNZ-9NT6-FCQU  Artus Chaparon             D521      Unknown             Unknown
C9RVQXC2GZZ828  M-0J43-BG0J-SM7Y-3MRZ-YF85-APCV  Artus Watson               D787      Unknown             Unknown
C9RVQXC2GZZ828  M-K7RN-OK2H-RMPS-NHNX-WE9J-VY6W  Artus Boorer               D299      Unknown             Unknown
C9RVQXC2GZZ828  M-63IA-EVUK-HITE-YN4H-UZGQ-79MQ  Artus Graves               D780      Unknown             Deceased
C9RVQXC2GZZ828  M-1KJ5-Q29W-A4RV-B1D6-1ELE-YJ9I  Artus Chaparon             D566      Unknown             Unknown
C9RVQXC2GZZ828  M-J1Z6-RQZ6-R2J3-LZ4O-I6E3-6JF3  Artus Chaparon             D830      Unknown             Unknown
C9RVQXC2GZZ828  M-WKY2-XH1S-LAVY-DDET-EUDJ-RJUC  Artus Chaparon             D573      Unknown             Deceased
C9RVQXC2GZZ828  M-J661-FFMA-W5KH-17JK-A1RL-DFLF  Artus Hoover               D452      Unknown             Unknown
C9RVQXC2GZZ828  M-2UYM-F5LM-ZVS1-KAMG-XVCH-362H  Artus Chaparon             D662      Unknown             Unknown
C9RVQXC2GZZ828  M-L3J0-2J9D-V09V-QA40-U7SG-OR99  Artus Chaparon             D472      Unknown             Unknown
C9RVQXC2GZZ828  M-OLXR-DDM5-2RBM-WVUP-VOGU-B1ZX  Artus Chaparon             D599      Unknown             Unknown
C9RVQXC2GZZ828  M-0MX5-OV23-3JLR-VSAR-OD39-8SE8  Artus Osborne              D143      Unknown             Unknown
C9RVQXC2GZZ828  M-NCUA-LP8X-VA01-QQQG-YHSN-JD4D  Artus Giordani             D920      Unknown             Deceased
C9RVQXC2GZZ828  M-OYF7-8ZYI-IYSM-B2RO-KY5V-1JB8  Artus Chaparon             D320      Unknown             Deceased
C9RVQXC2GZZ828  M-WXL0-90ZK-HQVX-KAY5-LRT1-8EE5  Artus Chaparon             D691      Unknown             Unknown
C9RVQXC2GZZ828  M-0ECV-HJLF-XHLL-O7JR-9HEU-G4EJ  Artus Chesny               D917      Unknown             Unknown
C9RVQXC2GZZ828  M-99JK-ZJ9R-SQA5-YDC8-FQAD-ZNRN  Artus Chaparon             D269      Unknown             Unknown
C9RVQXC2GZZ828  M-IC20-ATY6-A2VI-9BPN-H327-7N25  Artus Chaparon             D184      Unknown             Unknown
6SAC12XKVJW2ZN  M-IT4V-23W8-POK5-QKMX-PFPR-Y26H  Nathaniel Burch            N933      Unknown             Deceased
6SAC12XKVJW2ZN  M-OUXG-W3LZ-2XCU-U6HJ-1FXY-X73U  Nathaniel Burch            N115      Unknown             Unknown
6SAC12XKVJW2ZN  M-38MJ-OL7P-WWGI-GPLV-DUD2-I2CS  Nathaniel Burch            N567      Unknown             Unknown
6SAC12XKVJW2ZN  M-7G0S-EIUR-0DNY-RCLQ-ZW78-Z9DL  Nathaniel Burch            N545      Unknown             Unknown
6SAC12XKVJW2ZN  M-4BVC-4ALA-53MI-VOLO-BYSC-BWEA  Nathaniel Heffner          N904      Unknown             Unknown
6SAC12XKVJW2ZN  M-JWDW-5E37-COYC-WSXZ-2N3Y-0C5K  Nathaniel Burch            N687      Unknown             Deceased
6SAC12XKVJW2ZN  M-LS6B-RAJH-7V2H-7YF0-AOFG-0I1T  Nathaniel Burch            N262      Unknown             Unknown
6SAC12XKVJW2ZN  M-A2KY-3PJG-02LM-I2QC-FQEB-ZP1D  Nathaniel Burch            N636      Unknown             Deceased
6SAC12XKVJW2ZN  M-HCYL-7YUC-0NAZ-ZUOS-LWRF-N2SI  Nathaniel Burch            N481      Unknown             Unknown
6SAC12XKVJW2ZN  M-8CBJ-D03V-AHQ0-17IB-HIV5-11MU  Nathaniel Burch            N576      Unknown             Unknown
6SAC12XKVJW2ZN  M-BW0D-8W0P-TQN4-XK9A-TPYS-DX1N  Nathaniel Gochez           N789      Unknown             Deceased
6SAC12XKVJW2ZN  M-NP7E-GXQH-0RHR-A0WN-RBHK-UOO6  Nathaniel Burch            N495      Unknown             Deceased
6SAC12XKVJW2ZN  M-JVLM-C4QO-5MZS-YVI6-AGEG-DRA3  Nathaniel Burch            N396      Unknown             Unknown
6SAC12XKVJW2ZN  M-2KBC-QQ39-BB5V-LDE5-A3VX-ADZ5  Nathaniel Roberts          N961      Unknown             Unknown
6SAC12XKVJW2ZN  M-3LKN-JH31-VST1-3N7O-T0RX-0WU6  Nathaniel Burch            N234      Unknown             Deceased
6SAC12XKVJW2ZN  M-BJFJ-6M2Y-VFJF-GPZ3-HDA3-TNCX  Nathaniel Burch            N328      Unknown             Deceased
6SAC12XKVJW2ZN  M-6GEJ-WBFG-1NMA-CU5I-Z4GX-E2ID  Nathaniel Burch            N698      Unknown             Unknown
6SAC12XKVJW2ZN  M-BXPW-W1MY-GSNZ-ITCT-ACO2-DZ1X  Nathaniel Burch            N451      Unknown             Unknown
6SAC12XKVJW2ZN  M-I1DY-HOSD-8AI8-WST9-BY3T-HFAG  Nathaniel Burch            N797      Unknown             Deceased
6SAC12XKVJW2ZN  M-2WXB-OQAM-62O4-XXR1-AJ1H-KD7R  Nathaniel Burch            N314      Unknown             Deceased
6SAC12XKVJW2ZN  M-SO1O-5HQC-166U-1QZR-A6C3-EZMN  Nathaniel Burch            N369      Unknown             Unknown
6SAC12XKVJW2ZN  M-HBT7-O26Z-ZFSA-ZVQY-MLD1-16AT  Nathaniel Burch            N727      Unknown             Unknown
6SAC12XKVJW2ZN  M-UJHO-ADM3-BNH3-XSY8-AH4V-7Y2O  Nathaniel Burch            N128      Unknown             Deceased
6SAC12XKVJW2ZN  M-PNR3-VVWK-BANE-VSYW-2Z8L-OXB4  Nathaniel Burch            N350      Unknown             Unknown
6SAC12XKVJW2ZN  M-WE0T-COV5-Q28W-WTIQ-171X-ETNS  Nathaniel Burch            N235      Unknown             Unknown
6SAC12XKVJW2ZN  M-SI3I-0RA2-MXGR-4CHX-ORY2-TBAJ  Nathaniel Burch            N351      Unknown             Unknown
6SAC12XKVJW2ZN  M-QRUQ-5OZC-0IB4-VNF9-2FJ9-M0WY  Nathaniel Burch            N756      Unknown             Unknown
6SAC12XKVJW2ZN  M-ZEIW-5V8R-IU1I-7T68-7D0W-BNCB  Nathaniel Burch            N609      Unknown             Deceased
6SAC12XKVJW2ZN  M-MZ9N-1A60-5510-FCHF-JTWB-V6CJ  Nathaniel Tudhope          N362      Unknown             Deceased
6SAC12XKVJW2ZN  M-JLBI-99XM-CHJF-VUZH-XBNB-2G35  Nathaniel Burch            N237      Unknown             Deceased
6SAC12XKVJW2ZN  M-6VNR-1BPQ-X0EQ-9Y05-HOX7-2CTY  Nathaniel Burch            N763      Unknown             Deceased
6SAC12XKVJW2ZN  M-4ONU-TAQC-SGMO-WGVB-23S5-QJH8  Nathaniel Burch            N854      Unknown             Unknown
6SAC12XKVJW2ZN  M-KR3N-S5C4-CYWM-X47W-JC72-LLJB  Nathaniel Burch            N895      Unknown             Unknown
6SAC12XKVJW2ZN  M-3WF9-TYIV-HPJB-GDUW-ESM7-TJO7  Nathaniel McLaughlin       N425      Unknown             Deceased
6SAC12XKVJW2ZN  M-65VO-LPW9-H2T6-0DKN-QBEI-V5QG  Nathaniel Burch            N523      Unknown             Unknown
6SAC12XKVJW2ZN  M-RKY3-9MSU-HHCX-D4K1-2K4O-TY6B  Nathaniel Burch            N847      Unknown             Deceased
6SAC12XKVJW2ZN  M-H8QR-EGMB-PO6A-0394-K9YT-AWKW  Nathaniel Burch            N963      Unknown             Deceased
6SAC12XKVJW2ZN  M-1NQK-ABX3-OXVA-5AQB-4BHY-7JB8  Nathaniel Clement          N457      Unknown             Deceased
6SAC12XKVJW2ZN  M-K9ET-ANAV-Y4Z1-0CAN-1DWC-H89J  Nathaniel Burch            N222      Unknown             Unknown
6SAC12XKVJW2ZN  M-TWY8-OWYS-LR9B-7D2A-WAMA-KYL2  Nathaniel Burch            N126      Unknown             Deceased
6SAC12XKVJW2ZN  M-B364-X80M-A4AN-ZCGB-GHPI-C9QY  Nathaniel Burch            N811      Unknown             Deceased
6SAC12XKVJW2ZN  M-KVQH-W884-L67V-Z34N-0XAD-CPLU  Nathaniel Burch            N282      Unknown             Unknown
6SAC12XKVJW2ZN  M-4K4C-JC0C-NIUB-STZB-5FB3-EUMM  Nathaniel Burch            N276      Unknown             Unknown
6SAC12XKVJW2ZN  M-NCSO-8NV4-K5ML-D6VJ-F5HQ-J34H  Nathaniel Burch            N728      Unknown             Deceased
6SAC12XKVJW2ZN  M-79H6-NSPJ-8RZG-TLDA-WZ1X-GO89  Nathaniel Burch            N413      Unknown             Deceased
6SAC12XKVJW2ZN  M-U2XJ-N5DU-ILR9-GYR2-PDMW-GOZ4  Nathaniel Burch            N966      Unknown             Deceased
6SAC12XKVJW2ZN  M-1H3T-BHAT-BHMU-4F6C-NF8I-4E48  Nathaniel Burch            N238      Unknown             Deceased
6SAC12XKVJW2ZN  M-I9HD-BL2F-D2SF-CTSA-L888-M67J  Nathaniel Burch            N246      Unknown             Unknown
6SAC12XKVJW2ZN  M-HKIB-QQAW-N5LC-96RZ-PHRC-X0A4  Nathaniel Burch            N396      Unknown             Deceased
6SAC12XKVJW2ZN  M-W776-G6VL-B761-D1YW-162G-IPAO  Nathaniel Goldberg         N802      Unknown             Deceased
6SAC12XKVJW2ZN  M-QISE-O4WQ-KOOS-TEPR-JAAC-A0WY  Nathaniel Burch            N650      Unknown             Unknown
6SAC12XKVJW2ZN  M-S5K0-74VH-6SP7-NR7H-LPRY-MGCX  Nathaniel Haynes           N323      Unknown             Deceased
6SAC12XKVJW2ZN  M-QL6I-P8O0-W4WT-U5TP-2HVA-YSE2  Nathaniel Burch            N619      Unknown             Unknown
6SAC12XKVJW2ZN  M-C30U-J7LM-2XKW-7N18-EZLS-5OXP  Nathaniel Burch            N400      Unknown             Unknown
6SAC12XKVJW2ZN  M-6B6F-UC88-HDFV-H3RZ-TJ06-V7SO  Nathaniel Burch            N675      Unknown             Deceased
6SAC12XKVJW2ZN  M-PX59-GV7Y-GLYH-AG20-YLO3-IG0K  Nathaniel Benson           N996      Unknown             Unknown
6SAC12XKVJW2ZN  M-IV9V-X039-TRZ6-G81V-GQP6-FJYN  Nathaniel Burch            N228      Unknown             Deceased
6SAC12XKVJW2ZN  M-RAHK-SYGJ-7V1V-WLBP-RZYT-Q5T0  Nathaniel Burch            N876      Unknown             Unknown
6SAC12XKVJW2ZN  M-T3X2-04F8-6WEX-STQ4-KQ9V-HG94  Nathaniel Burch            N535      Unknown             Unknown
6SAC12XKVJW2ZN  M-PAOQ-UF6V-QR0Z-AOTD-Q3YA-HO68  Nathaniel Gleiser          N518      Unknown             Deceased
6SAC12XKVJW2ZN  M-I3I9-57TN-32NZ-PYN1-ZTGB-3146  Nathaniel Burch            N794      Unknown             Deceased
6SAC12XKVJW2ZN  M-76FO-R8XB-DPI1-66ZS-8M5I-B3X1  Nathaniel Burch            N383      Unknown             Unknown
6SAC12XKVJW2ZN  M-P7LY-H5FR-9LC9-2F65-FMW9-QW42  Nathaniel Patterson        N299      Unknown             Unknown
6SAC12XKVJW2ZN  M-3XCQ-5V5E-JN8T-X93I-K01V-4003  Nathaniel Burch            N150      Unknown             Deceased
6SAC12XKVJW2ZN  M-QACZ-GXL2-DT4T-2YVN-Q80O-GMHG  Nathaniel Burch            N234      Unknown             Unknown
6SAC12XKVJW2ZN  M-SOZZ-4J7C-7JA5-TF7V-CFQE-EJPV  Nathaniel Saunders         N664      Unknown             Deceased
6SAC12XKVJW2ZN  M-FOE5-AMWD-26G2-8V84-V1WS-YZ4K  Nathaniel Burch            N928      Unknown             Deceased
6SAC12XKVJW2ZN  M-BELA-6DBI-8DUQ-EBCU-W7DW-8EWR  Nathaniel Burch            N100      Unknown             Deceased
6SAC12XKVJW2ZN  M-HWTM-X77P-T345-AWHZ-4845-BRZT  Nathaniel Burch            N560      Unknown             Unknown
6SAC12XKVJW2ZN  M-ZB60-WHL7-S43J-TYVB-FE6K-HHUA  Nathaniel Delaunay         N469      Unknown             Deceased
6SAC12XKVJW2ZN  M-0N1A-J1QZ-6AXV-BH3M-S7NG-37FF  Nathaniel Burch            N781      Unknown             Unknown
6SAC12XKVJW2ZN  M-M306-VOLR-R5AI-PLX1-ODMT-B9A8  Nathaniel Burch            N790      Unknown             Deceased
6SAC12XKVJW2ZN  M-LU2J-3OH2-IVXQ-BTES-YFEF-GU6G  Nathaniel Burch            N487      Unknown             Deceased
6SAC12XKVJW2ZN  M-KW2Z-UVEN-31VA-WBXD-YHA3-XH04  Nathaniel Burch            N926      Unknown             Deceased
6SAC12XKVJW2ZN  M-8455-5410-YV9H-VRHW-RKWJ-8D6W  Nathaniel Burch            N590      Unknown             Unknown
6SAC12XKVJW2ZN  M-SBR8-UCTC-6710-0JR8-A4MA-CQRH  Nathaniel Keech            N877      Unknown             Unknown
6SAC12XKVJW2ZN  M-AOMM-UQ54-8JN4-N2GV-C6LY-ZR5H  Nathaniel Santoro          N504      Unknown             Deceased
6SAC12XKVJW2ZN  M-3YID-15UB-TJ8F-ZGSP-B62R-6XVH  Nathaniel Schofield        N955      Unknown             Deceased
6SAC12XKVJW2ZN  M-X07F-E3RS-SFT6-I1DC-YLKD-3B65  Nathaniel Egleston         N515      Unknown             Deceased
6SAC12XKVJW2ZN  M-O6W3-YOLG-DBQA-7O70-2QWU-WWHJ  Nathaniel Kern             N393      Unknown             Unknown
6SAC12XKVJW2ZN  M-302U-MRNW-4C1H-GX3E-3N3G-LCEJ  Nathaniel Burch            N230      Unknown             Deceased
6SAC12XKVJW2ZN  M-NULN-OLI1-ZMA8-V03V-X3G5-XZTE  Nathaniel Burch            N449      Unknown             Deceased
6SAC12XKVJW2ZN  M-WR1J-2A70-VTG1-G9HT-39S4-X4TC  Nathaniel Burch            N405      Unknown             Deceased
6SAC12XKVJW2ZN  M-THTS-6IVY-AG17-U98Z-OJNC-UCPX  Nathaniel Burch            N136      Unknown             Unknown
6SAC12XKVJW2ZN  M-VWCY-HZQ1-7YZV-QP4N-7S1A-IK93  Nathaniel Burch            N464      Unknown             Deceased
6SAC12XKVJW2ZN  M-A3PO-RRSR-267J-G7QL-ZA95-KNI9  Nathaniel Burch            N735      Unknown             Deceased
6SAC12XKVJW2ZN  M-O9FB-KPPK-XIYO-JCJQ-GH2U-SVH9  Nathaniel Burch            N447      Unknown             Unknown
6SAC12XKVJW2ZN  M-CPKH-LETW-UQAS-MRHN-QWV7-JCCX  Nathaniel Burch            N585      Unknown             Deceased
6SAC12XKVJW2ZN  M-1TYD-UXR3-2F85-EH9T-ZB32-B1EZ  Nathaniel Burch            N455      Unknown             Deceased
6SAC12XKVJW2ZN  M-APD5-9J0A-NXQ2-PQB6-9HZG-SLIJ  Nathaniel Nordberg         N115      Unknown             Unknown
6SAC12XKVJW2ZN  M-XCIH-IKVA-P9CF-TV4T-P8SQ-0GEI  Nathaniel Tilton           N381      Unknown             Deceased
6SAC12XKVJW2ZN  M-9624-B7GY-G4H6-AT1D-CQNP-N6MN  Nathaniel Burch            N628      Unknown             Deceased
6SAC12XKVJW2ZN  M-NG1T-32TQ-89HL-R18R-3N8Z-O7S5  Nathaniel Burch            N875      Unknown             Unknown
6SAC12XKVJW2ZN  M-GOOJ-3Y5D-UPQ5-FW5O-L18B-LQVK  Nathaniel Burch            N361      Unknown             Unknown
6SAC12XKVJW2ZN  M-S5W9-8X9Q-X5NO-OJWJ-EE1C-KDMG  Nathaniel Burch            N475      Unknown             Unknown
6SAC12XKVJW2ZN  M-STOW-8RT0-3D18-C5E7-PAHJ-JQAC  Nathaniel Menichelli       N980      Unknown             Unknown
6SAC12XKVJW2ZN  M-EY7H-YTAO-TPQO-IMRG-MWVK-RYHI  Nathaniel Burch            N543      Unknown             Deceased
6SAC12XKVJW2ZN  M-94WJ-5C7C-TMSJ-TLBJ-CNPW-OZYC  Nathaniel Burch            N643      Unknown             Unknown
6SAC12XKVJW2ZN  M-TB7X-4ZUP-RYI4-61TQ-SO56-4HWA  Nathaniel Burch            N557      Unknown             Unknown
6SAC12XKVJW2ZN  M-UMIE-JU3J-FUZ4-FJH3-1C25-DGML  Nathaniel Burch            N949      Unknown             Deceased
6SAC12XKVJW2ZN  M-38DA-42HM-O7CS-RQG6-49ZM-BZLI  Nathaniel Burch            N479      Unknown             Deceased
6SAC12XKVJW2ZN  M-GBE2-P16N-96KK-R3ON-MNPH-HYLL  Nathaniel Burch            N988      Unknown             Unknown
6SAC12XKVJW2ZN  M-55AE-RAJE-X432-YP6X-AYTU-G5PB  Nathaniel Burch            N579      Unknown             Deceased
6SAC12XKVJW2ZN  M-UL9Y-KDBR-026U-0258-XGXW-9WY7  Nathaniel Burch            N273      Unknown             Unknown
6SAC12XKVJW2ZN  M-Q1HS-F0FA-P8UG-BU4T-3MC5-TM6I  Nathaniel Burch            N785      Unknown             Deceased
6SAC12XKVJW2ZN  M-2U79-H2C8-WBIS-6SL9-X5E2-IZ7C  Nathaniel Burch            N953      Unknown             Unknown
6SAC12XKVJW2ZN  M-LE3X-T3ND-49ZV-3F2X-6WT9-MLXL  Nathaniel Burch            N906      Unknown             Deceased
6SAC12XKVJW2ZN  M-ADHX-IEAD-W4YD-9OO3-YEY6-20GS  Nathaniel Burch            N810      Unknown             Deceased
6SAC12XKVJW2ZN  M-DR5V-G70A-QSXQ-V04Z-9W88-RYXS  Nathaniel Gleiser          N927      Unknown             Unknown
6SAC12XKVJW2ZN  M-HZLH-X0SJ-7ZU1-JO6Y-EXXR-18H8  Nathaniel Burch            N123      Unknown             Deceased
6SAC12XKVJW2ZN  M-K87F-1HBP-3NOR-WSNZ-9NT6-FCQU  Nathaniel Burch            N552      Unknown             Deceased
6SAC12XKVJW2ZN  M-0J43-BG0J-SM7Y-3MRZ-YF85-APCV  Nathaniel Burch            N326      Unknown             Unknown
6SAC12XKVJW2ZN  M-K7RN-OK2H-RMPS-NHNX-WE9J-VY6W  Nathaniel Burch            N935      Unknown             Unknown
6SAC12XKVJW2ZN  M-63IA-EVUK-HITE-YN4H-UZGQ-79MQ  Nathaniel Burch            N859      Unknown             Deceased
6SAC12XKVJW2ZN  M-1KJ5-Q29W-A4RV-B1D6-1ELE-YJ9I  Nathaniel Burch            N842      Unknown             Deceased
6SAC12XKVJW2ZN  M-J1Z6-RQZ6-R2J3-LZ4O-I6E3-6JF3  Nathaniel Burch            N702      Unknown             Deceased
6SAC12XKVJW2ZN  M-WKY2-XH1S-LAVY-DDET-EUDJ-RJUC  Nathaniel Burch            N851      Unknown             Unknown
6SAC12XKVJW2ZN  M-J661-FFMA-W5KH-17JK-A1RL-DFLF  Nathaniel Burch            N779      Unknown             Deceased
6SAC12XKVJW2ZN  M-2UYM-F5LM-ZVS1-KAMG-XVCH-362H  Nathaniel Burch            N149      Unknown             Deceased
6SAC12XKVJW2ZN  M-L3J0-2J9D-V09V-QA40-U7SG-OR99  Nathaniel Bickel           N157      Unknown             Deceased
6SAC12XKVJW2ZN  M-OLXR-DDM5-2RBM-WVUP-VOGU-B1ZX  Nathaniel Burch            N826      Unknown             Unknown
6SAC12XKVJW2ZN  M-0MX5-OV23-3JLR-VSAR-OD39-8SE8  Nathaniel Burch            N806      Unknown             Unknown
6SAC12XKVJW2ZN  M-NCUA-LP8X-VA01-QQQG-YHSN-JD4D  Nathaniel Paoloni          N867      Unknown             Deceased
6SAC12XKVJW2ZN  M-OYF7-8ZYI-IYSM-B2RO-KY5V-1JB8  Nathaniel Burch            N676      Unknown             Unknown
6SAC12XKVJW2ZN  M-WXL0-90ZK-HQVX-KAY5-LRT1-8EE5  Nathaniel Burch            N358      Unknown             Unknown
6SAC12XKVJW2ZN  M-0ECV-HJLF-XHLL-O7JR-9HEU-G4EJ  Nathaniel Burch            N263      Unknown             Unknown
